name,salary_from,salary_to,salary_currency,area_name,published_at
Оператор станков с программным управлением,40000.0,80000.0,RUR,Ясногорск,2022-12-15T09:28:38+0300
Специалист по информационной безопасности,,,,Барнаул,2022-12-15T11:24:00+0300
ИТ-специалист,75000.0,,RUR,Южно-Сахалинск,2022-12-15T10:13:05+0300
Старший специалист по компьютерной криминалистике,,,,Москва,2022-12-15T11:08:41+0300
Механик,,73500.0,RUR,Миасс,2022-12-15T07:18:45+0300
Инженер КИПиА,40000.0,80000.0,RUR,Киров (Кировская область),2022-12-15T08:45:35+0300
Консультант 1С:ЗУП,50000.0,80000.0,RUR,Ярославль,2022-12-15T11:33:07+0300
Руководитель проектов,75000.0,,RUR,Поварово,2022-12-15T09:27:23+0300
Аналитик отдела продаж,120000.0,,RUR,Екатеринбург,2022-12-15T07:56:47+0300
Data Engineer junior +,,,,Санкт-Петербург,2022-12-15T11:28:59+0300
Системный аналитик (удаленно),,,,Санкт-Петербург,2022-12-15T09:12:55+0300
Frontend разработчик на Vue.js,,,,Нижний Новгород,2022-12-15T08:06:55+0300
Специалист технической поддержки,,,,Санкт-Петербург,2022-12-15T11:53:08+0300
Аналитик данных,,,,Москва,2022-12-15T10:55:34+0300
Копирайтер / Редактор / Оператор обработки текста и ввода данных (удаленно),,80000.0,RUR,Казань,2022-12-15T10:56:58+0300
Дизайнер,,,,Екатеринбург,2022-12-15T10:03:59+0300
Инженер поддержки Service Desk,70000.0,,RUR,Санкт-Петербург,2022-12-15T11:32:47+0300
Заместитель Руководителя АТП,,,,Казань,2022-12-15T10:52:34+0300
Маркетолог-аналитик,50000.0,80000.0,RUR,Екатеринбург,2022-12-15T10:55:19+0300
Руководитель сервисной службы,70000.0,,RUR,Иркутск,2022-12-15T11:01:49+0300
Category Manager,50000.0,90000.0,KGS,Бишкек,2022-12-15T11:36:27+0300
Выездной инженер технической поддержки,50000.0,,RUR,Калининград,2022-12-15T10:20:23+0300
"Начальник отдела (управленческий учет, бюджетирование)",,,,Москва,2022-12-15T10:40:39+0300
Ученик мастера по ремонту телефонов и планшетов,30000.0,,RUR,Томск,2022-12-15T11:40:55+0300
Техник по обслуживанию пожарной сигнализации,44000.0,,RUR,Краснодар,2022-12-15T11:53:11+0300
UX/UI дизайнер Middle/Middle+,,,,Москва,2022-12-15T09:22:10+0300
Техник,48700.0,55000.0,RUR,Санкт-Петербург,2022-12-15T10:24:44+0300
Механик сервиса,60000.0,75000.0,RUR,Наро-Фоминск,2022-12-15T09:52:24+0300
Начальник отдела обслуживания инфраструктуры ЦОД,90000.0,,RUR,Екатеринбург,2022-12-15T06:09:13+0300
Координатор (менеджер/руководитель проекта) по этнокультурным проектам,300000.0,350000.0,KZT,Астана,2022-12-15T07:44:33+0300
Дизайнер,,,,Краснодар,2022-12-15T10:37:48+0300
Фрезеровщик,,,,Санкт-Петербург,2022-12-15T09:36:56+0300
Web-разработчик,,,,Пермь,2022-12-15T08:51:31+0300
Специалист первой линии,40000.0,40000.0,RUR,Тюмень,2022-12-15T09:09:44+0300
Аналитик,30000.0,35000.0,RUR,Казань,2022-12-15T10:38:41+0300
Главный механик,150000.0,150000.0,RUR,Сургут,2022-12-15T07:46:19+0300
Специалист по контенту,,,,Тамбов,2022-12-15T10:29:46+0300
Менеджер технических проектов,,,,Москва,2022-12-15T11:17:19+0300
Штамповщик/штамповщица/наладчик прессового оборудования,,,,Петушки,2022-12-15T10:05:43+0300
Специалист по контенту,,,,Краснодар,2022-12-15T10:29:46+0300
IT System Specialist,,,,Ташкент,2022-12-15T09:02:31+0300
Специалист по контенту,,,,Оренбург,2022-12-15T10:29:46+0300
Разработчик баз данных,150000.0,,RUR,Новосибирск,2022-12-15T11:38:51+0300
Ассистент клиент-менеджера,20000.0,,RUR,Орск,2022-12-15T09:33:56+0300
Андроид разработчик,700000.0,,KZT,Астана,2022-12-15T06:57:08+0300
